262	94	16	26
261	92	15	24
260	91	15	25
260	91	15	24
259	90	14	24
258	91	14	24
255	91	14	23
252	88	14	24
253	86	15	24
250	82	15	24
250	80	15	25
248	78	16	27
246	78	15	25
245	77	16	27
244	73	17	28
243	73	18	29
240	69	18	29
238	68	19	31
238	66	19	31
235	65	19	31
233	65	18	30
231	65	18	30
230	62	19	31
228	62	19	31
227	58	19	32
226	57	20	32
227	54	21	34
226	53	20	33
225	52	20	33
226	51	19	32
223	49	19	31
222	48	19	32
219	44	20	33
219	42	20	33
217	41	20	32
215	39	20	33
215	37	21	34
213	36	21	34
211	32	22	36
207	30	22	37
206	28	23	38
204	27	24	40
204	27	23	38
202	26	24	40
202	23	25	41
203	23	24	40
202	22	25	41
203	21	25	40
203	21	26	42
203	19	27	44
205	19	28	46
205	18	28	46
206	18	27	45
207	18	27	45
209	15	27	45
210	17	27	45
210	15	27	44
210	10	28	46
211	11	28	47
213	8	30	48
217	9	30	48
216	9	30	49
219	17	31	51
230	39	33	54
230	42	34	56
242	67	33	54
263	64	33	54
270	48	32	53
275	40	31	50
293	5	32	53
309	-10	31	50
319	-18	30	49
327	-17	29	48
343	-19	28	46
343	-19	28	46
343	-19	28	46
343	-19	28	46
343	-19	28	46
372	-5	28	47
372	-5	28	47
379	11	27	45
383	45	26	43
383	45	26	43
383	45	26	43
383	45	26	43
383	45	26	43
383	45	26	43
383	45	26	43
383	45	26	43
383	45	26	43
405	41	27	44
409	40	27	44
410	42	26	42
410	42	25	41
411	42	24	40
412	44	24	39
412	45	23	38
412	44	22	37
410	45	23	38
409	43	24	40
408	44	24	39
408	43	24	40
408	45	24	39
406	45	24	39
405	47	23	37
401	51	22	36
400	53	21	34
400	52	20	33
400	53	21	34
399	54	20	33
403	58	20	32
403	60	19	31
403	60	19	32
402	62	19	32
401	65	19	32
399	64	20	33
400	64	21	34
398	64	20	33
399	66	19	32
396	67	19	31
394	67	19	32
391	68	19	31
390	69	18	30
389	70	18	30
389	71	18	29
389	71	18	29
389	73	18	29
389	72	18	29
387	73	17	28
387	74	18	29
386	75	18	29
384	75	18	30
384	77	18	29
381	77	17	28
381	78	16	27
379	79	16	26
378	79	15	25
377	80	15	25
377	81	15	25
376	81	15	24
376	83	15	24
374	82	15	24
