1830	0	49	62
1830	1	48	60
1828	0	51	62
1829	1	49	62
1830	0	49	61
1830	0	51	64
1830	0	52	63
1827	2	52	60
1831	1	50	63
1829	0	53	61
1830	0	51	62
1832	0	49	63
1831	0	49	63
1830	0	49	65
1830	0	51	64
1828	0	53	61
1830	1	50	62
1830	0	50	61
1831	0	50	64
1831	-1	52	64
1829	2	50	61
1830	2	50	61
1831	3	49	61
1832	2	51	60
1831	3	51	61
1830	1	52	63
1833	2	50	63
1832	2	49	62
1832	2	49	64
1832	0	51	65
1832	1	53	65
1831	1	53	63
1831	2	54	64
1832	3	52	65
1830	5	53	59
1832	4	51	63
1834	0	49	66
1832	1	52	64
1831	5	52	62
1835	3	52	64
1835	7	47	63
1834	2	52	67
1832	2	50	68
1834	3	51	68
1832	7	51	62
1834	1	51	69
1834	3	52	68
1834	6	49	62
1835	2	52	68
1835	6	49	66
1835	5	50	65
1834	1	52	69
1836	-1	51	75
1835	4	50	65
1836	4	52	68
1836	4	50	70
1835	3	52	76
1834	0	55	72
1834	7	55	68
1834	2	52	69
1837	3	50	69
1837	2	49	72
1836	-3	53	78
1836	0	53	77
1835	0	52	77
1834	-1	58	79
1833	-1	55	81
1835	1	53	78
1838	7	49	74
1838	14	49	62
1836	15	49	65
1835	16	51	65
1836	13	54	72
1836	6	51	74
1837	3	51	78
1836	0	51	82
1835	-2	54	85
1835	2	53	83
1835	-2	54	89
1835	3	56	83
1834	-2	55	85
1836	5	57	79
1834	-1	57	88
1837	3	54	83
1837	1	51	88
1836	3	55	83
1833	4	54	84
1834	6	53	81
1831	6	59	83
1831	0	59	86
1835	1	57	88
1833	0	58	92
1834	2	56	89
1832	1	57	90
1834	3	58	90
1832	0	59	91
1831	4	57	88
1832	0	59	93
1830	-3	60	97
1829	-1	60	96
1832	0	57	95
1833	-1	59	97
1832	1	57	94
1834	4	57	93
1832	3	58	94
1833	0	59	96
1832	2	56	94
1833	2	56	96
1832	1	56	95
1832	3	58	98
1832	5	56	94
1833	1	54	96
1831	4	54	97
1832	5	58	98
1831	7	58	94
1832	4	58	99
1831	7	56	97
1831	7	56	95
1830	11	57	94
1831	12	58	92
1831	13	58	93
1832	15	55	93
1831	10	56	96
1831	11	57	96
